,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea
0,Abbotsford,49 Lithgow St,3,h,1490000.0,S,Jellis,1/04/2017,3067,Northern Metropolitan,4019,3.0,Yarra City Council
1,Abbotsford,59A Turner St,3,h,1220000.0,S,Marshall,1/04/2017,3067,Northern Metropolitan,4019,3.0,Yarra City Council
2,Abbotsford,119B Yarra St,3,h,1420000.0,S,Nelson,1/04/2017,3067,Northern Metropolitan,4019,3.0,Yarra City Council
3,Aberfeldie,68 Vida St,3,h,1515000.0,S,Barry,1/04/2017,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council
4,Airport West,92 Clydesdale Rd,2,h,670000.0,S,Nelson,1/04/2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
5,Airport West,4/32 Earl St,2,t,530000.0,S,Jellis,1/04/2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
6,Airport West,3/74 Hawker St,2,u,540000.0,S,Barry,1/04/2017,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
9,Albert Park,18 Mills St,3,h,1925000.0,S,Cayzer,1/04/2017,3206,Southern Metropolitan,3280,3.0,Port Phillip City Council
10,Albion,3/15 Drummartin St,3,u,515000.0,S,Douglas,1/04/2017,3020,Western Metropolitan,2185,10.5,Brimbank City Council
11,Albion,3A Kororoit St,4,h,717000.0,S,Bells,1/04/2017,3020,Western Metropolitan,2185,10.5,Brimbank City Council
12,Alphington,55 Fulham Rd,2,h,1675000.0,S,Miles,1/04/2017,3078,Northern Metropolitan,2211,5.7,Darebin City Council
13,Alphington,41 Toolangi Rd,4,h,2008000.0,S,Jellis,1/04/2017,3078,Northern Metropolitan,2211,5.7,Darebin City Council
16,Altona North,14 Seventh Av,3,h,720000.0,S,Hunter,1/04/2017,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
17,Armadale,2/23 Ashleigh Rd,2,u,836000.0,S,Jellis,1/04/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
18,Armadale,6A Auburn Gr,2,h,2110000.0,S,Jellis,1/04/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
19,Armadale,746 High St,3,h,1386000.0,S,Marshall,1/04/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
21,Armadale,6/38 Wattletree Rd,1,u,355000.0,S,hockingstuart,1/04/2017,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
22,Ascot Vale,8 The Grove,3,h,1123100.0,S,Ray,1/04/2017,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
23,Ashburton,1/48 Karnak Rd,3,u,1270000.0,S,Fletchers,1/04/2017,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
