,Suburb,Address,Rooms,Type,Price,SellerG,Postcode,Regionname,Propertycount,Distance,CouncilArea,latitude,longitude
0,Abbotsford,49 Lithgow St,3,h,1490000.0,Jellis,3067,Northern Metropolitan,4019,3.0,Yarra City Council,-37.8061,145.0015
1,Abbotsford,59A Turner St,3,h,1220000.0,Marshall,3067,Northern Metropolitan,4019,3.0,Yarra City Council,-37.8061,145.0015
2,Abbotsford,119B Yarra St,3,h,1420000.0,Nelson,3067,Northern Metropolitan,4019,3.0,Yarra City Council,-37.8061,145.0015
3,Aberfeldie,68 Vida St,3,h,1515000.0,Barry,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council,-37.7498,144.89833333333334
4,Airport West,92 Clydesdale Rd,2,h,670000.0,Nelson,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,-37.7238,144.877275
5,Airport West,4/32 Earl St,2,t,530000.0,Jellis,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,-37.7238,144.877275
6,Airport West,3/74 Hawker St,2,u,540000.0,Barry,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council,-37.7238,144.877275
7,Albert Park,18 Mills St,3,h,1925000.0,Cayzer,3206,Southern Metropolitan,3280,3.0,Port Phillip City Council,-37.8445,144.95755
8,Albion,3/15 Drummartin St,3,u,515000.0,Douglas,3020,Western Metropolitan,2185,10.5,Brimbank City Council,-37.7949,144.8264
9,Albion,3A Kororoit St,4,h,717000.0,Bells,3020,Western Metropolitan,2185,10.5,Brimbank City Council,-37.7949,144.8264
10,Alphington,55 Fulham Rd,2,h,1675000.0,Miles,3078,Northern Metropolitan,2211,5.7,Darebin City Council,-37.7835,145.02435
11,Alphington,41 Toolangi Rd,4,h,2008000.0,Jellis,3078,Northern Metropolitan,2211,5.7,Darebin City Council,-37.7835,145.02435
12,Altona North,14 Seventh Av,3,h,720000.0,Hunter,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council,-37.8349,144.8483
13,Armadale,2/23 Ashleigh Rd,2,u,836000.0,Jellis,3143,Southern Metropolitan,4836,6.3,Stonnington City Council,-37.85,145.02675
14,Armadale,6A Auburn Gr,2,h,2110000.0,Jellis,3143,Southern Metropolitan,4836,6.3,Stonnington City Council,-37.85,145.02675
15,Armadale,746 High St,3,h,1386000.0,Marshall,3143,Southern Metropolitan,4836,6.3,Stonnington City Council,-37.85,145.02675
16,Armadale,6/38 Wattletree Rd,1,u,355000.0,hockingstuart,3143,Southern Metropolitan,4836,6.3,Stonnington City Council,-37.85,145.02675
17,Ascot Vale,8 The Grove,3,h,1123100.0,Ray,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council,-37.776,144.91049999999998
18,Ashburton,1/48 Karnak Rd,3,u,1270000.0,Fletchers,3147,Southern Metropolitan,3052,10.2,Boroondara City Council,-37.867,145.09115
19,Ashburton,61A Victory Bvd,3,t,1610000.0,Jellis,3147,Southern Metropolitan,3052,10.2,Boroondara City Council,-37.867,145.09115
20,Ashwood,43 Douglas St,4,h,1435000.0,Ray,3147,Southern Metropolitan,2894,10.2,Monash City Council,-37.867,145.09115
21,Aspendale,4 Jirrah Ct,4,h,1431000.0,hockingstuart,3195,South-Eastern Metropolitan,2824,21.5,Kingston City Council,-38.0014,145.10508333333334
22,Aspendale Gardens,8 Mangrove Ct,4,h,996000.0,Ray,3195,South-Eastern Metropolitan,2243,21.5,Kingston City Council,-38.0014,145.10508333333334
23,Balwyn,4/40 Northcote Av,3,u,955000.0,Noel,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,-37.8112,145.0776
